district,metro,area,rooms,floor,gk,price,adress
1.19,1.0,33.0,1,6.0,1,13000.0,"Регенераторная ул., 4к10, Днепровский р-н"
2.87,3.0,50.0,1,22.0,1,29000.0,"Василия Тютюнника ул. (Барбюса Анри), 28а, Печерский р-н"
1.74,3.0,125.0,4,9.0,0,26000.0,"Дмитриевская ул., 80, Шевченковский р-н"
1.74,3.0,75.0,2,5.0,0,20000.0,"Дмитревская ул., 52б, Шевченковский р-н"
1.53,3.0,48.0,2,9.0,0,13000.0,"Васильковская ул., 21, Голосеевский р-н"
1.22,1.0,55.0,2,5.0,1,12800.0,"Балтийский пер., 5, Оболонский р-н"
1.29,1.0,55.0,1,4.0,1,12500.0,"Балтийский переулок, 5, Подольский р-н"
1.22,1.0,55.0,1,12.0,1,10000.0,"Петра Калнышевского ул. (Майорова Михаила), 8, Оболонский р-н"
1.22,3.0,35.0,1,4.0,0,11000.0,"Оболонский просп., 30, Оболонский р-н"
2.87,3.0,140.0,4,8.0,0,49225.0,"Панаса Мирного ул., 14, Печерский р-н"
1.74,3.0,160.0,3,5.0,0,68750.0,"ул. Лютеранская , 10, Шевченковский р-н"
2.87,3.0,120.0,3,12.0,1,54175.0,"Драгомирова ул., 3, Печерский р-н"
1.22,1.0,62.0,2,14.0,1,19900.0,"Семьи Кульженков ул. (Дегтяренко Петра), 37, Оболонский р-н"
1.74,3.0,110.0,3,8.0,1,33000.0,"Глубочицкая ул., 32а, Шевченковский р-н"
1.12,1.0,42.0,1,17.0,1,12000.0,"Драгоманова ул., 10, Дарницкий р-н"
1.53,3.0,40.0,1,8.0,1,15000.0,"Юношеская ул., 19, Голосеевский р-н"
1.74,3.0,52.0,1,13.0,1,21000.0,"Победы просп., Шевченковский р-н"
1.22,3.0,165.0,4,3.0,0,35750.0,"Героев Сталинграда просп., 24а, Оболонский р-н"
1.53,3.0,53.0,2,18.0,0,26000.0,"Демиевская ул., 16, Голосеевский р-н"
1.74,3.0,187.0,4,6.0,0,60500.0,"Назаровская ул. (Ветрова), 7б, Шевченковский р-н"
1.19,1.0,32.0,1,8.0,0,8500.0,"Харьковское шоссе, 15-а, Днепровский р-н"
1.22,1.0,34.0,1,1.0,0,7000.0,"Кондратюка Юрия ул., 2, Оболонский р-н"
2.87,3.0,94.0,3,27.0,1,68750.0,"Драгомирова ул., 17, Печерский р-н"
1.29,1.0,35.0,1,2.0,0,17900.0,"Борисоглебская ул., 8/13, Подольский р-н"
