district,metro,area,rooms,floor,gk,price,adress,lat_long,repair,metro_dist
1.53,3,50.0,2,4,0,15000,"
ул. Майкопская, 1а, Киев
","('50.4035158', '30.5015115')",1,1
1.12,1,49.0,1,16,0,13000,"
ул. Драгоманова, 31б, Киев
","('50.4010203', '30.6373204')",0,1
1.12,1,92.0,3,12,0,14000,"
ул. Мишуги Александра, 1/4, Киев
","('50.3973246', '30.6413922')",0,1
1.12,1,55.0,1,21,0,11000,"
ул. Драгоманова, 2, Киев
","('50.4180344', '30.6342052')",0,1
1.19,1,51.0,2,20,1,16000,"
ул. Сверстюка Евгения (Расковой Марины), 6в, Киев
","('50.4470683', '30.6034662')",0,1
1.22,1,60.0,2,9,0,11000,"
ул. Малиновского Маршала, 25, Киев
","('50.5031033', '30.5048813')",0,1
2.87,1,70.0,3,2,0,18000,"
ул. Дарвина, 6, Киев
","('50.441648', '30.52514')",0,1
1.19,3,65.0,2,4,0,21000,"
ул. Никольско-Слободская, 1, Киев
","('50.4542848', '30.5930757')",0,1
1.74,3,135.0,4,4,1,52200,"
ул. Полтавская, 10, Киев
","('50.4556319', '30.4866309')",0,2
1.18,3,53.0,1,4,1,15100,"
Победы просп., 121б, Киев
","('50.4538903', '30.3624137')",0,1
2.87,3,53.0,1,4,1,21000,"
ул. Предславинская, 40, Киев
","('50.4161613', '30.5254886')",0,1
1.19,3,54.0,2,4,1,18000,"
ул. Туманяна Ованеса, 15а, Киев
","('50.4446846', '30.6013544')",0,1
1.19,1,92.0,3,4,0,27500,"
Комарова Космонавта просп., 46б, Киев
","('50.43487', '30.40547')",0,1
1.19,1,43.0,1,4,1,12000,"
ул. Воскресенская, 14д, Киев
","('50.4688686', '30.6021234')",0,1
1.12,3,50.0,1,4,0,22000,"
ул. Заречная, Киев
","('50.3955098', '30.6028253')",0,1
2.87,1,63.0,2,4,0,37100,"
ул. Джона Маккейна (Кудри Ивана), Киев
","('50.4147531', '30.5332158')",0,1
2.87,3,120.0,4,4,1,96000,"
ул. Бусловская, 12, Киев
","('50.407541', '30.556827')",0,1
2.87,3,76.0,3,4,0,28000,"
ул. Рыбальская, 7, Киев
","('50.4336299', '30.5427779')",0,1
1.12,1,50.0,2,4,0,23000,"
ул. Днепровская наб., Киев
","('50.4009018', '30.614217')",0,1
2.87,3,58.0,2,4,0,35700,"
ул. Тютюнника Василия (Барбюса Анри), 28, Киев
","('50.4245352', '30.523142')",0,2
1.19,1,85.0,2,4,0,41200,"
ул. Липкивского Василия (Урицкого), 18, Киев
","('50.4339983', '30.4843094')",0,3
1.53,3,140.0,3,4,1,118000,"
ул. Жилянская, 59, Киев
","('50.4377164', '30.4996085')",0,2
1.12,3,125.0,3,4,1,43900,"
ул. Заречная, 1б, Киев
","('50.3951196', '30.6025924')",0,1
2.87,3,75.0,2,4,1,81000,"
ул. Бусловская, 12, Киев
","('50.407541', '30.556827')",0,1
1.12,1,43.0,1,4,0,15000,"
ул. Драгоманова, 10, Киев
","('50.4140599', '30.6365959')",0,1
1.19,1,55.0,1,4,1,20000,"
ул. Липкивского Василия (Урицкого), 37б, Киев
","('50.4303712', '30.4758501')",0,3
2.87,3,50.0,1,4,1,24700,"
ул. Саперное Поле, 12, Киев
","('50.4175225', '30.5299452')",0,1
2.87,3,62.0,1,4,1,27500,"
Леси Украинки бульв., 7б, Киев
","('50.4346578', '30.5312405')",0,1
1.53,1,50.0,1,4,0,30200,"
ул. Жилянская, Киев
","('50.4372046', '30.502147')",0,2
1.29,3,55.0,2,4,0,35700,"
Андреевский спуск, 2б, Киев
","('50.4619081', '30.5172269')",0,1
1.74,3,140.0,3,4,0,33000,"
ул. Черновола Вячеслава, 20, Киев
","('50.4548844', '30.4843459')",0,2
2.87,1,150.0,3,4,0,46700,"
ул. Коновальца Евгения (Щорса), Киев
","('50.4269561', '30.5353531')",0,1
2.87,1,76.0,2,4,0,30200,"
ул. Грушевского Михаила, Киев
","('50.4453903', '30.5387474')",0,1
1.53,3,60.0,2,4,1,43900,"
ул. Антоновича (Горького), 44, Киев
","('50.433465', '30.513191')",0,2
1.74,3,135.0,4,4,1,52200,"
ул. Полтавская, 10, Киев
","('50.4556319', '30.4866309')",0,2
1.74,3,48.0,1,4,1,14500,"
ул. Сикорского Игоря (Танковая), 1, Киев
","('50.465671', '30.425503')",0,1
2.87,3,55.0,1,4,0,20000,"
ул. Иоанна Павла II (Лумумбы Патриса), 11, Киев
","('50.4209277', '30.5326337')",0,1
1.19,1,55.0,2,4,0,17500,"
ул. Маланюка Евгения (Сагайдака Степана), Киев
","('50.4617921', '30.5848844')",0,1
1.19,1,105.0,3,4,0,30200,"
Соборности просп. (Воссоединения), Киев
","('50.4388283', '30.6101722')",0,1
2.87,3,145.0,3,4,0,33000,"
ул. Предславинская, 31/11, Киев
","('50.4240684', '30.5214559')",0,2
2.87,3,65.0,2,4,0,42600,"
ул. Драгомирова Михаила, Киев
","('50.4105584', '30.5461666')",0,1
1.22,1,52.0,2,4,0,8000,"
ул. Автозаводская, 41, Киев
","('50.5104744', '30.4563146')",0,1
2.87,3,119.0,3,4,0,54900,"
ул. Тютюнника Василия (Барбюса Анри), 5в, Киев
","('50.4284262', '30.5219497')",0,2
2.87,3,47.0,1,4,1,33000,"
ул. Предславинская, 57, Киев
","('50.4152701', '30.5273529')",0,1
1.74,3,165.0,4,4,0,85100,"
ул. Ярославов Вал, 17а, Киев
","('50.451376', '30.5091532')",0,2
2.87,3,200.0,3,4,1,95800,"
ул. Старонаводницкая, 13, Киев
","('50.4267606', '30.5428333')",0,1
1.74,1,83.0,3,4,1,37100,"
ул. Дмитриевская, 75, Киев
","('50.4565324', '30.4865402')",0,2
1.29,3,85.0,2,4,0,30200,"
ул. Борисоглебская, 16в, Киев
","('50.4639958', '30.5236886')",0,1
2.87,3,62.6,2,4,1,30000,"
ул. Джона Маккейна (Кудри Ивана), 1б, Киев
","('50.4139129', '30.5264399')",0,1
2.87,3,80.0,2,4,1,33000,"
ул. Тютюнника Василия (Барбюса Анри), 28а, Киев
","('50.4245352', '30.523142')",0,2
1.74,3,57.0,3,4,0,33000,"
ул. Леонтовича, 5, Киев
","('50.445669', '30.5103428')",0,2
1.74,1,60.0,2,4,0,33000,"
ул. Обсерваторная, 12а, Киев
","('50.4547236', '30.5018509')",0,2
1.74,1,180.0,4,4,1,110000,"
ул. Дмитриевская, 75, Киев
","('50.4564896', '30.4867669')",0,2
1.74,3,126.0,3,4,0,39400,"
ул. Рейтарская, 35а, Киев
","('50.4534853', '30.5083971')",0,2
2.87,3,68.0,2,4,0,37100,"
ул. Бассейная, 23, Киев
","('50.4394084', '30.5248618')",0,2
1.74,3,130.0,3,4,0,54900,"
ул. Владимирская, 49, Киев
","('50.4476054', '30.5142703')",0,2
2.87,3,210.0,4,4,0,76900,"
ул. Панаса Мирного, 28а, Киев
","('50.434059', '30.536943')",0,1
