district,metro,area,rooms,floor,gk,price,adress
1.19,1,100.0,2,4,1,27500,"
ул. Механизаторов, 2, Киев
"
1.19,1,55.0,1,4,0,20500,"
ул. Соломенская, 15, Киев
"
1.12,3,70.0,2,4,1,23000,"
ул. Гмыри Бориса, 14, Киев
"
1.19,1,50.0,1,4,1,18500,"
ул. Липкивского Василия (Урицкого), 16б, Киев
"
1.19,1,50.0,1,4,1,18500,"
ул. Липкивского Василия (Урицкого), 16б, Киев
"
1.19,1,62.0,2,4,1,17000,"
ул. Гарматная, 38а, Киев
"
1.19,1,55.0,1,4,1,20000,"
ул. Липкивского Василия (Урицкого), 37б, Киев
"
1.74,3,75.0,2,4,1,16500,"
ул. Глубочицкая, 13, Киев
"
1.53,1,80.0,2,4,0,21000,"
Ясиноватский пер., 10, Киев
"
1.12,3,110.0,3,4,0,22000,"
ул. Княжий Затон, 11, Киев
"
1.74,3,45.0,1,4,1,19500,"
ул. Глубочицкая, 13, Киев
"
1.19,1,95.0,3,4,1,26000,"
Гавела Вацлава бульв. (Лепсе Ивана), 6/7а, Киев
"
1.74,3,50.0,2,4,0,18000,"
ул. Жабаева Жамбила, 7д, Киев
"
1.19,3,90.0,2,4,1,22000,"
ул. Днепровская наб., 1а, Киев
"
1.74,3,60.0,1,4,1,20000,"
ул. Герцена, 35, Киев
"
2.87,3,43.0,1,4,1,23500,"
ул. Джона Маккейна (Кудри Ивана), 26, Киев
"
1.19,1,75.0,2,4,0,16500,"
ул. Соломенская, 15а, Киев
"
1.19,1,61.0,1,4,1,20000,"
ул. Липкивского Василия (Урицкого), 37б, Киев
"
1.53,3,110.0,3,4,0,23500,"
ул. Малевича Казимира (Боженко), 53/30, Киев
"
1.19,3,80.0,2,4,0,16000,"
ул. Борщаговская, 143б, Киев
"
1.12,1,50.0,1,12,0,14500,"
ул. Пчелки Елены, 2, Киев
"
2.87,3,55.0,1,4,1,22000,"
ул. Тютюнника Василия (Барбюса Анри), 37/1, Киев
"
2.87,3,60.0,1,4,1,18000,"
ул. Коновальца Евгения (Щорса), 44а, Киев
"
2.87,3,50.0,2,4,0,17500,"
ул. Госпитальная, 24, Киев
"
1.53,1,80.0,3,4,0,20000,"
ул. Большая Китаевская, 59, Киев
"
1.12,3,60.0,2,4,0,13000,"
ул. Крушельницкой Соломии, 15, Киев
"
1.12,1,70.0,2,4,0,14000,"
ул. Урловская, 16, Киев
"
1.12,1,56.0,2,4,1,13000,"
ул. Здолбуновская, 13, Киев
"
